# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2022-06-13T04:23:46
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, volume, page (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2017-01-01 01:30, 0.8587,-0.2478
2017-01-01 02:10, 1.0367,-0.4583
2017-01-03 01:20, 1.0228,-0.3284
2017-01-03 02:00,-------,-------
2017-01-05 01:10, 1.0864,-0.5274
2017-01-06 01:10, 0.8667,-0.2795
2017-01-06 01:50, 0.7787,-0.3268
2017-01-08 01:00, 1.1164,-0.2817
2017-01-09 01:40, 0.8706,-0.2907
2017-01-10 00:50, 1.1114,-0.3687
2017-01-11 00:50, 1.1599,-0.3343
2017-01-11 01:30, 0.6996,-0.2995
2017-01-13 00:40, 0.8687,-0.4192
2017-01-16 00:30, 0.9135,-0.2778
2017-01-16 01:10, 1.0297,-0.2626
2017-01-21 00:50, 0.9602,-0.3360
2017-01-24 00:00,-------,-------
2017-01-25 23:50,-------,-------
2017-01-26 00:30, 0.8028,-0.2323
2017-01-28 23:40, 0.9451,-0.3716
2017-01-31 00:10,-------,-------
2017-02-02 23:20, 0.7641,-0.3631
2017-02-03 00:00, 0.7935,-0.3830
2017-02-07 22:50,-------,-------
2017-02-07 23:00, 0.7551,-0.2084
2017-02-07 23:40, 0.6671,-0.4602
2017-02-12 22:40, 0.8391,-0.3639
2017-02-12 23:20, 0.6457,-0.4650
2017-02-17 22:20, 0.9800,-0.3905
2017-02-17 23:00, 0.8104,-0.2493
2017-02-20 22:10,-------,-------
2017-02-22 22:40, 0.9135,-0.5563
2017-02-25 21:50, 0.8908,-0.3201
2017-02-27 22:20, 0.7214,-0.4150
2017-03-02 21:30, 0.8509,-0.4764
2017-03-02 22:10, 0.6973,-0.4163
2017-03-05 21:50,-------,-------
2017-03-07 21:10, 0.7355,-0.4894
2017-03-07 21:50, 0.5361,-0.4472
2017-03-12 20:50, 0.7787,-0.5790
2017-03-12 21:30, 0.8568,-0.4772
2017-03-17 20:30, 0.5628,-0.4774
2017-03-17 21:10, 0.5826,-0.4889
2017-03-20 20:20,-------,-------
2017-03-22 20:50, 0.7954,-0.5638
2017-03-23 20:40,-------,-------
2017-03-25 20:00, 0.6058,-0.6035
2017-03-27 20:30, 0.7443,-0.4564
2017-03-30 19:40, 0.8548,-0.4437
2017-03-30 20:20, 0.9203,-0.6052
2017-04-02 19:20,-------,-------
2017-04-04 19:20, 0.8489,-0.4882
2017-04-04 20:00, 0.7180,-0.4425
2017-04-09 19:00, 0.7249,-0.5014
2017-04-09 19:40, 0.8827,-0.5599
2017-04-14 18:40, 0.8848,-0.4953
2017-04-14 19:20, 0.6687,-0.5277
2017-04-16 18:30, 0.5962,-0.4717
2017-04-19 18:20, 0.8929,-0.5007
2017-04-19 19:00, 0.7302,-0.5997
2017-04-22 18:10, 0.7898,-0.4723
2017-04-24 18:00,-------,-------
2017-04-26 17:50, 0.7249,-0.4878
2017-04-27 17:50, 0.5641,-0.4527
2017-04-27 18:30, 0.4636,-0.4123
2017-04-28 17:40,-------,-------
2017-04-29 17:40, 0.6169,-0.5139
2017-04-30 18:20, 0.5240,-0.6338
2017-05-01 17:30, 0.6956,-0.4890
2017-05-02 17:30, 0.7134,-0.4416
2017-05-02 18:10, 0.6506,-0.4361
2017-05-04 17:20, 0.5996,-0.5776
2017-05-05 18:00, 0.7353,-0.7050
2017-05-06 17:10, 0.8667,-0.4881
2017-05-07 17:10, 0.5949,-0.6319
2017-05-07 17:50, 0.7024,-0.5138
2017-05-09 17:00, 0.6296,-0.6547
2017-05-10 17:40, 0.6704,-0.6312
2017-05-11 16:50, 0.7284,-0.4788
2017-05-12 16:50,-------,-------
2017-05-12 17:30,-------,-------
2017-05-13 17:30, 0.6058,-0.6324
2017-05-14 16:40, 0.8123,-0.4584
2017-05-15 17:20, 0.8391,-0.3718
2017-05-17 16:30,-------,-------
2017-05-17 17:10, 0.4966,-0.5826
2017-05-18 17:10, 0.7100,-0.5722
2017-05-19 16:20, 0.6506,-0.4037
2017-05-20 16:20,-------,-------
2017-05-20 17:00, 0.5302,-0.4877
2017-05-22 16:50, 0.6370,-0.4888
2017-05-23 16:50, 0.5857,-0.5409
2017-05-24 16:00, 0.5215,-0.5994
2017-05-25 16:00,-------,-------
2017-05-25 16:40, 0.6871,-0.6773
2017-05-27 15:50, 0.7641,-0.5922
2017-05-28 16:30, 0.7732,-0.6447
2017-05-29 15:40, 0.5464,-0.5040
2017-05-30 15:40,-------,-------
2017-05-30 16:20, 0.5508,-0.5838
2017-06-01 15:30, 0.4886,-0.6576
2017-06-02 16:10, 0.6105,-0.6423
2017-06-03 15:20, 0.6474,-0.6754
2017-06-04 15:20,-------,-------
2017-06-04 16:00,-------,-------
2017-06-06 15:10, 0.4245,-0.5351
2017-06-07 15:50, 0.5419,-0.4910
2017-06-09 15:00,-------,-------
2017-06-09 15:40,-------,-------
2017-06-11 14:50, 0.5704,-0.6459
2017-06-12 15:30, 0.7898,-0.5615
2017-06-14 15:20,-------,-------
2017-06-15 15:20, 0.4802,-0.5406
2017-06-16 14:30, 0.9100,-0.5879
2017-06-17 15:10, 0.7024,-0.6556
2017-06-19 15:00, 0.5015,-0.5643
2017-06-20 15:00, 0.6638,-0.5540
2017-06-21 14:10, 0.6027,-0.4904
2017-06-22 14:10,-------,-------
2017-06-22 14:50, 0.6638,-0.6799
2017-06-24 14:00, 0.7430,-0.5757
2017-06-26 13:50, 0.5244,-0.5192
2017-06-27 13:50,-------,-------
2017-06-27 14:30,-------,-------
2017-06-29 13:40, 0.6687,-0.5690
2017-06-30 14:20, 0.7024,-0.4791
2017-07-01 13:30, 0.7898,-0.4619
2017-07-02 13:30,-------,-------
2017-07-02 14:10, 0.6787,-0.5347
2017-07-04 13:20, 0.7764,-------
2017-07-05 14:00, 0.8142,-0.3796
2017-07-06 13:10, 0.9473,-0.3658
2017-07-07 13:10,-------,-------
2017-07-07 13:50, 0.7535,-0.4143
2017-07-09 13:00, 0.8687,-0.3289
2017-07-10 13:40, 0.6883,-0.5395
2017-07-11 12:50, 0.8568,-0.4332
2017-07-12 12:50, 0.7232,-0.3013
2017-07-12 13:30, 0.7128,-0.3584
2017-07-14 12:40, 0.9197,-0.4703
2017-07-17 13:00,-------,-------
2017-07-19 12:20, 0.7954,-0.3111
2017-07-20 12:20, 0.8165,-0.4342
2017-07-20 13:00, 1.1021,-0.3385
2017-07-22 12:10, 0.5980,-0.3061
2017-07-22 12:50, 0.7584,-0.3322
2017-07-24 12:00, 0.9034,-0.3776
2017-07-25 12:00, 0.7916,-0.2097
2017-07-27 12:30,-------,-------
2017-07-30 11:40, 0.6605,-0.1897
2017-07-30 12:20, 0.8161,-0.3889
2017-08-04 11:20, 1.1215,-0.4108
2017-08-04 12:00, 0.9663,-0.2347
2017-08-09 11:00, 0.9778,-0.0481
2017-08-09 11:40, 0.9888,-0.3510
2017-08-12 10:50,-------,-------
2017-08-14 11:20, 0.9239,-0.3379
2017-08-15 11:10,-------,-------
2017-08-17 10:30, 0.8673,-0.3386
2017-08-19 11:00, 1.1127,-0.3588
2017-08-21 10:40,-------,-------
2017-08-22 10:10, 0.9324,-0.1205
2017-08-24 10:40, 0.9156,-0.1911
2017-08-27 09:50, 1.1418,-0.2919
2017-08-27 10:30, 1.0990,-0.3371
2017-09-01 09:30, 0.7267,-0.2649
2017-09-01 10:10, 0.7972,-0.2898
2017-09-06 09:10, 1.3854,-0.2809
2017-09-06 09:50, 1.0555,-0.0878
2017-09-09 09:00,-------,-------
2017-09-11 08:50, 1.0046,-0.2954
2017-09-11 09:30, 0.8687,-0.0682
2017-09-14 08:40, 1.0437,-0.3525
2017-09-16 09:10, 1.0258,-0.2095
2017-09-17 08:20,-------,-------
2017-09-19 08:20, 0.9052,-0.0574
2017-09-21 08:50, 0.9494,-0.2118
2017-09-24 08:00, 1.0579,-0.2321
2017-09-24 08:40, 1.2582,-0.1149
2017-09-26 08:30,-------,-------
2017-09-29 07:30,-------,-------
2017-09-29 07:40, 1.0344,-0.1824
2017-09-29 08:20, 1.1470, 0.0636
2017-10-04 07:20, 1.1393,-0.2675
2017-10-04 08:00, 1.1114,-0.2084
2017-10-09 07:00, 1.0531,-0.2331
2017-10-09 07:40, 1.1731,-0.1593
2017-10-12 06:50, 0.9666, 0.0671
2017-10-14 07:20, 1.1757, 0.0212
