# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes; after binning). 
# Last updated on 2023-08-21T13:30:02
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Mean of observation dates in each bin in UTC (accuracy of 10 min). 
#   2nd column: First observation date in each bin in UTC (accuracy of 10 min). 
#   3rd column: Last observation date in each bin in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band and its standard error (only for Bands 2 and 3). 
# 
#Mean date (UTC),First date (UTC),Last date (UTC) ,Band 02,02_err,Band 03,03_err
2017-01-04 05:01,2017-01-01 01:30,2017-01-08 01:00, 0.9740,0.0885,-0.3273,0.0561
2017-01-13 10:30,2017-01-09 01:40,2017-01-21 00:50, 0.9458,0.0717,-0.3171,0.0265
2017-01-31 08:12,2017-01-24 00:00,2017-02-07 23:00, 0.7941,0.0388,-0.3255,0.0640
2017-02-16 06:11,2017-02-07 23:40,2017-02-22 22:40, 0.8083,0.0893,-0.4215,0.0570
2017-03-03 15:27,2017-02-25 21:50,2017-03-07 21:50, 0.7411,0.0698,-0.4352,0.0325
2017-03-17 13:21,2017-03-12 20:50,2017-03-22 20:50, 0.7194,0.1036,-0.5106,0.0396
2017-03-31 17:42,2017-03-23 20:40,2017-04-09 19:00, 0.7716,0.0596,-0.4924,0.0454
2017-04-15 23:25,2017-04-09 19:40,2017-04-19 19:00, 0.7874,0.0979,-0.5208,0.0289
2017-04-28 18:25,2017-04-22 18:10,2017-05-02 18:10, 0.6475,0.0527,-0.4703,0.0202
2017-05-07 14:31,2017-05-04 17:20,2017-05-10 17:40, 0.6680,0.0440,-0.6095,0.0421
2017-05-14 14:32,2017-05-11 16:50,2017-05-17 17:10, 0.7070,0.0986,-0.5052,0.0665
2017-05-21 13:42,2017-05-18 17:10,2017-05-24 16:00, 0.6033,0.0490,-0.5200,0.0419
2017-05-28 22:31,2017-05-25 16:00,2017-06-01 15:30, 0.6286,0.0915,-0.6179,0.0378
2017-06-06 18:38,2017-06-02 16:10,2017-06-11 14:50, 0.5684,0.0484,-0.6100,0.0557
2017-06-16 03:38,2017-06-12 15:30,2017-06-19 15:00, 0.6643,0.1315,-0.5739,0.0246
2017-06-23 02:50,2017-06-20 15:00,2017-06-26 13:50, 0.6435,0.0463,-0.5550,0.0410
2017-07-01 09:02,2017-06-27 13:50,2017-07-05 14:00, 0.7367,0.0474,-0.4894,0.0425
2017-07-09 10:17,2017-07-06 13:10,2017-07-12 12:50, 0.8007,0.0677,-0.3902,0.0496
2017-07-21 13:00,2017-07-12 13:30,2017-07-30 11:40, 0.7926,0.0496,-0.3361,0.0300
2017-08-05 12:10,2017-07-30 12:20,2017-08-09 11:40, 0.9753,0.0535,-0.3202,0.0854
2017-08-20 06:22,2017-08-12 10:50,2017-08-27 10:30, 0.9843,0.0832,-0.3114,0.0464
2017-09-06 01:55,2017-09-01 09:30,2017-09-11 08:50, 0.9594,0.1481,-0.2696,0.0427
2017-09-17 19:28,2017-09-11 09:30,2017-09-24 08:00, 0.9798,0.0571,-0.1913,0.0672
2017-09-29 15:21,2017-09-24 08:40,2017-10-04 08:00, 1.1341,0.0402,-0.1645,0.0662
2017-10-13 15:33,2017-10-09 07:00,2017-10-19 07:00, 1.0651,0.0715,-0.0682,0.0687
2017-10-27 00:45,2017-10-22 06:10,2017-11-01 06:10, 1.0813,0.0328,-0.0872,0.0293
2017-11-11 17:33,2017-11-06 05:10,2017-11-19 04:20, 1.0621,0.0613,-0.0420,0.0317
2017-11-26 17:52,2017-11-21 04:10,2017-12-04 03:20, 1.1210,0.0470,-0.1735,0.0246
2017-12-14 01:27,2017-12-06 03:10,2017-12-21 02:10, 1.0623,0.0537,-0.2280,0.0282
2017-12-25 06:40,2017-12-22 02:10,2017-12-29 01:40, 1.0071,0.0487,-0.3758,0.0304
2018-01-05 00:00,2017-12-30 02:20,2018-01-11 01:30, 0.9368,0.0898,-0.3544,0.0766
2018-01-18 01:07,2018-01-13 00:40,2018-01-24 00:40, 0.8992,0.0544,-0.3337,0.0409
2018-02-02 16:11,2018-01-28 23:40,2018-02-07 23:40, 0.8431,0.0586,-0.2502,0.0828
2018-02-18 12:31,2018-02-10 22:50,2018-02-25 21:50, 0.9457,0.0802,-0.2658,0.0409
2018-03-04 18:13,2018-02-25 22:30,2018-03-10 21:00, 1.0201,0.0642,-0.2756,0.0504
2018-03-18 14:30,2018-03-12 21:30,2018-03-25 20:00, 1.0219,0.0899,-0.2960,0.0505
2018-04-03 17:37,2018-03-25 20:40,2018-04-09 19:40, 0.8803,0.1395,-0.3801,0.0805
2018-04-17 08:36,2018-04-12 18:40,2018-04-22 18:50, 0.8483,0.0378,-0.4055,0.0630
2018-05-02 10:21,2018-04-27 17:50,2018-05-07 17:50, 0.8772,0.0836,-0.4750,0.0246
2018-05-15 22:08,2018-05-10 17:00,2018-05-20 16:20, 0.9521,0.0689,-0.4287,0.0521
2018-05-24 12:02,2018-05-20 17:00,2018-05-27 15:50, 0.9167,0.0536,-0.3134,0.0546
2018-05-31 08:35,2018-05-28 16:30,2018-06-02 16:10, 0.8591,0.1244,-0.4062,0.0369
2018-06-08 05:18,2018-06-04 16:00,2018-06-11 14:50, 0.8077,0.0680,-0.3745,0.0463
2018-06-15 01:02,2018-06-12 14:50,2018-06-17 14:30, 0.8714,0.0600,-0.3194,0.0422
2018-06-21 08:10,2018-06-17 15:10,2018-06-24 14:00, 0.8567,0.0859,-0.3173,0.0169
2018-06-29 11:32,2018-06-26 13:50,2018-07-02 14:10, 0.8449,0.0530,-0.3669,0.0381
2018-07-07 09:14,2018-07-03 14:10,2018-07-10 13:40, 0.8701,0.0384,-0.3825,0.0383
2018-07-15 16:06,2018-07-12 12:50,2018-07-20 12:20, 0.8372,0.0479,-0.3521,0.0357
2018-07-23 16:56,2018-07-20 13:00,2018-07-25 12:40, 0.7996,0.0538,-0.4006,0.0538
2018-08-04 22:46,2018-07-27 11:50,2018-08-12 11:30, 0.8548,0.0201,-0.3640,0.0349
2018-08-21 11:00,2018-08-17 10:30,2018-08-27 09:50, 0.7327,0.0416,-0.3551,0.0325
2018-09-06 07:18,2018-08-27 10:30,2018-09-14 08:40, 0.9592,0.0538,-0.3003,0.0385
2018-09-20 09:10,2018-09-14 09:20,2018-09-24 08:40, 0.8476,0.0671,-0.2315,0.0475
2018-10-04 14:58,2018-09-27 07:50,2018-10-12 06:50, 0.9089,0.0979,-0.2389,0.0812
2018-10-18 07:20,2018-10-12 07:30,2018-10-22 06:50, 1.0768,0.1140,-0.1541,0.0345
2018-11-01 17:02,2018-10-25 06:00,2018-11-09 05:40, 1.1812,0.1481,-0.0518,0.0527
2018-11-18 05:18,2018-11-14 04:40,2018-11-24 04:40, 1.3097,0.0650, 0.0280,0.0357
2018-12-02 08:38,2018-11-26 03:50,2018-12-07 03:50, 1.2624,0.0694, 0.0760,0.0317
2018-12-12 18:32,2018-12-09 03:00,2018-12-17 03:10, 1.3829,0.1904, 0.1323,0.0562
2018-12-23 13:32,2018-12-19 02:20,2018-12-29 01:40, 1.3279,0.0974, 0.0534,0.0746
2019-01-01 17:18,2018-12-30 01:40,2019-01-04 02:00, 1.2655,0.0916, 0.0843,0.0372
2019-01-07 21:02,2019-01-06 01:10,2019-01-09 01:40, 1.3682,0.0973, 0.1849,0.0356
2019-01-15 18:28,2019-01-11 00:50,2019-01-19 01:00, 1.2680,0.0944,-0.0259,0.0624
2019-01-28 00:31,2019-01-21 00:10,2019-02-05 23:50, 1.0263,0.0760,-0.1456,0.0338
2019-02-15 06:15,2019-02-10 22:50,2019-02-20 22:50, 0.9184,0.0786,-0.3623,0.0377
2019-03-02 22:18,2019-02-23 22:00,2019-03-10 21:00, 0.9502,0.0780,-0.4113,0.0573
2019-03-18 03:15,2019-03-10 21:40,2019-03-23 20:10, 0.9545,0.0802,-0.3699,0.0419
2019-04-02 20:23,2019-03-28 19:50,2019-04-07 19:50, 0.8769,0.1198,-0.3950,0.0739
2019-04-17 11:21,2019-04-12 18:50,2019-04-22 18:50, 0.9154,0.0779,-0.3073,0.0646
2019-05-01 02:28,2019-04-25 18:00,2019-05-05 18:00, 0.9931,0.0913,-0.2478,0.0719
2019-05-15 17:30,2019-05-10 17:00,2019-05-20 17:00, 0.9209,0.0817,-0.1901,0.0318
2019-05-30 22:51,2019-05-23 16:10,2019-06-07 15:10, 1.0204,0.0477,-0.0763,0.0495
2019-06-15 05:15,2019-06-07 15:50,2019-06-19 14:20, 1.1061,0.0681,-0.1525,0.0353
2019-06-25 22:45,2019-06-20 14:20,2019-07-02 13:30, 1.0176,0.0427,-0.1110,0.0240
2019-07-09 13:57,2019-07-03 14:10,2019-07-15 13:20, 0.9417,0.0828,-0.1576,0.0311
2019-07-24 21:47,2019-07-18 12:30,2019-08-02 11:30, 1.0314,0.0556,-0.1497,0.0267
2019-08-08 12:00,2019-08-02 12:10,2019-08-12 11:30, 0.9970,0.0453,-0.1627,0.0234
2019-08-23 01:58,2019-08-15 10:40,2019-08-30 09:40, 1.0530,0.0475,-0.1538,0.0369
2019-09-05 02:15,2019-08-30 10:20,2019-09-09 09:40, 1.0683,0.0891,-0.1685,0.0462
2019-09-19 15:58,2019-09-12 08:50,2019-09-27 07:50, 1.0560,0.0918,-0.1254,0.0219
2019-10-02 16:25,2019-09-27 08:30,2019-10-07 07:50, 1.2241,0.1391,-0.1118,0.0219
2019-10-15 04:28,2019-10-10 07:00,2019-10-22 06:50, 1.0779,0.0453,-0.0375,0.0729
2019-10-28 22:35,2019-10-25 06:00,2019-11-04 05:20, 1.1688,0.0729,-0.0353,0.0964
2019-11-10 12:34,2019-11-04 06:00,2019-11-17 04:30, 1.3766,0.0845, 0.0518,0.0582
2019-11-25 00:48,2019-11-19 05:00,2019-12-02 03:30, 1.5666,0.0755, 0.2200,0.0374
2019-12-12 00:46,2019-12-02 04:10,2019-12-20 03:00, 1.6917,0.0752, 0.4302,0.0616
2019-12-31 02:22,2019-12-25 02:00,2020-01-04 02:00, 1.9193,0.0908, 0.6911,0.0987
2020-01-14 16:28,2020-01-07 01:10,2020-01-22 00:10, 2.1026,0.1462, 0.6726,0.0632
2020-01-28 00:40,2020-01-22 00:50,2020-02-01 00:10, 1.9304,0.1139, 0.6901,0.0593
2020-02-11 14:38,2020-02-03 23:20,2020-02-18 22:20, 2.0206,0.1337, 0.8536,0.0620
2020-02-24 22:50,2020-02-18 23:00,2020-02-28 22:20, 1.9206,0.1884, 0.7374,0.0311
2020-03-07 05:55,2020-03-02 21:30,2020-03-12 20:50, 1.7803,0.1376, 0.6730,0.1081
2020-03-20 14:20,2020-03-14 21:20,2020-03-27 19:50, 1.5497,0.1809, 0.2953,0.0821
2020-04-03 03:04,2020-03-27 20:30,2020-04-09 19:00, 1.2334,0.0524, 0.0340,0.1298
2020-04-17 12:30,2020-04-11 19:30,2020-04-24 18:00, 1.1356,0.1390,-0.2927,0.0720
2020-05-04 15:43,2020-04-24 18:40,2020-05-12 16:50, 0.9925,0.1166,-0.3312,0.0272
2020-05-19 08:07,2020-05-14 16:40,2020-05-24 16:00, 1.0902,0.0606,-0.3406,0.0444
2020-05-31 04:26,2020-05-25 16:40,2020-06-04 16:00, 1.0094,0.0449,-0.2091,0.0608
2020-06-08 15:50,2020-06-06 15:10,2020-06-11 14:50, 0.9872,0.1034,-0.1954,0.0793
2020-06-16 22:14,2020-06-11 15:30,2020-06-19 15:00, 1.1128,0.1572,-0.1067,0.0603
2020-06-27 02:35,2020-06-21 14:10,2020-07-01 13:30, 1.1289,0.1129,-0.0271,0.0664
2020-07-07 07:56,2020-07-02 13:30,2020-07-14 12:40, 1.2185,0.0299, 0.0351,0.0374
2020-07-19 09:05,2020-07-16 12:30,2020-07-22 12:50, 1.2970,0.0617, 0.0756,0.0539
2020-07-31 20:23,2020-07-27 11:50,2020-08-06 11:50, 1.3734,0.0501, 0.1314,0.0396
2020-08-14 01:17,2020-08-09 11:00,2020-08-19 11:00, 1.1964,0.0715, 0.1878,0.0473
2020-08-28 18:33,2020-08-24 10:00,2020-09-03 10:00, 1.2178,0.0202, 0.1069,0.0322
2020-09-11 17:38,2020-09-06 09:10,2020-09-16 09:10, 1.1544,0.0985, 0.1079,0.0449
2020-09-25 16:43,2020-09-21 08:10,2020-10-01 08:10, 1.2724,0.0883, 0.0046,0.0930
2020-10-08 11:21,2020-10-04 07:20,2020-10-14 06:40, 1.1284,0.0631,-0.0745,0.0606
2020-10-23 00:01,2020-10-14 07:20,2020-10-29 06:20, 1.1886,0.0662,-0.0493,0.0431
2020-11-06 19:42,2020-11-01 05:30,2020-11-11 05:30, 1.3045,0.1515, 0.0003,0.0357
2020-11-23 08:07,2020-11-16 04:30,2020-11-29 03:40, 1.2720,0.0936, 0.0476,0.0433
2020-12-06 19:02,2020-12-01 04:10,2020-12-14 03:20, 1.3225,0.1104, 0.0088,0.0617
2020-12-25 19:50,2020-12-19 02:20,2021-01-01 02:10, 1.2429,0.0677,-0.0613,0.0512
2021-01-08 21:48,2021-01-03 02:00,2021-01-16 00:30, 1.1441,0.1046,-0.1165,0.0809
2021-01-23 04:21,2021-01-16 01:10,2021-01-28 23:40, 1.0704,0.0681,-0.1089,0.0550
2021-02-03 13:58,2021-01-29 00:20,2021-02-07 23:40, 1.0275,0.0498,-0.1634,0.0593
2021-02-16 11:10,2021-02-12 22:40,2021-02-20 22:10, 1.0383,0.0903,-0.1248,0.0522
2021-02-27 17:48,2021-02-22 22:40,2021-03-02 22:10, 1.1188,0.0983,-0.0716,0.0574
2021-03-12 00:42,2021-03-04 22:00,2021-03-17 20:30, 1.0380,0.1394,-0.0996,0.0601
2021-03-23 01:52,2021-03-17 21:10,2021-03-27 20:30, 1.1890,0.0280,-0.0309,0.0355
2021-04-03 12:15,2021-03-30 19:40,2021-04-09 19:00, 1.3170,0.0399, 0.0900,0.0491
2021-04-16 02:14,2021-04-09 19:40,2021-04-22 18:10, 1.3238,0.0919, 0.1119,0.0516
2021-04-30 21:54,2021-04-24 18:40,2021-05-07 17:10, 1.2901,0.0919, 0.1576,0.0557
2021-05-16 02:31,2021-05-07 17:50,2021-05-22 16:50, 1.2949,0.1139, 0.1248,0.0434
2021-05-30 12:23,2021-05-25 16:00,2021-06-04 15:20, 1.3203,0.1232, 0.1130,0.0244
2021-06-09 18:48,2021-06-04 16:00,2021-06-14 15:20, 1.2528,0.0791, 0.0145,0.0844
2021-06-21 01:37,2021-06-16 14:30,2021-06-26 13:50, 1.2997,0.0944,-0.0041,0.0373
2021-06-29 22:23,2021-06-27 13:50,2021-07-02 13:30, 1.1869,0.1080,-0.0161,0.0433
2021-07-05 18:06,2021-07-02 14:10,2021-07-07 13:50, 1.1525,0.0532,-0.1313,0.0501
2021-07-16 01:22,2021-07-09 13:00,2021-07-22 12:10, 1.0643,0.0699,-0.1446,0.0429
2021-07-28 05:44,2021-07-22 12:50,2021-08-04 11:20, 1.0664,0.0874,-0.1637,0.0519
2021-08-13 17:33,2021-08-04 12:00,2021-08-22 10:10, 0.9736,0.0810,-0.1396,0.0420
2021-08-29 03:44,2021-08-22 10:50,2021-09-06 09:10, 1.0215,0.0291,-0.1809,0.0521
2021-09-14 22:44,2021-09-06 09:50,2021-09-24 08:00, 1.0012,0.0897,-0.2048,0.0313
2021-09-30 08:30,2021-09-24 08:40,2021-10-04 08:00, 0.9953,0.1217,-0.1491,0.0406
2021-10-13 22:27,2021-10-07 07:10,2021-10-22 06:10, 1.0585,0.1193,-0.2188,0.0300
2021-10-28 06:40,2021-10-22 06:50,2021-11-01 06:10, 1.0845,0.1006,-0.2119,0.0461
2021-11-11 19:18,2021-11-06 05:10,2021-11-19 04:20, 1.0784,0.0744,-0.2119,0.0371
2021-11-27 16:35,2021-11-24 04:00,2021-12-04 03:20, 1.0820,0.0910,-0.1265,0.0296
2021-12-12 10:45,2021-12-04 04:00,2021-12-19 02:20, 1.1972,0.0745,-0.0288,0.0546
2021-12-22 18:50,2021-12-20 03:00,2021-12-27 01:50, 1.2686,0.1006,-0.0304,0.0620
2021-12-31 02:27,2021-12-27 02:30,2022-01-03 01:20, 1.1798,0.0897,-0.0784,0.0265
2022-01-12 23:26,2022-01-06 01:10,2022-01-19 00:20, 1.1799,0.0701,-0.0314,0.0440
2022-01-27 09:36,2022-01-19 01:00,2022-02-03 00:00, 1.0931,0.1344,-0.1694,0.0336
2022-02-15 02:16,2022-02-05 23:10,2022-02-20 22:50, 1.0786,0.1506,-0.2659,0.0227
2022-03-02 14:21,2022-02-25 21:50,2022-03-07 21:50, 1.0049,0.0711,-0.3551,0.0493
2022-03-16 11:12,2022-03-10 21:00,2022-03-20 21:00, 0.8447,0.0898,-0.2564,0.0843
2022-03-31 00:23,2022-03-25 20:00,2022-04-07 19:10, 0.8456,0.1330,-0.4326,0.0399
2022-04-15 12:38,2022-04-09 19:40,2022-04-22 18:10, 0.7934,0.0656,-0.3598,0.0451
2022-05-04 02:59,2022-04-22 18:50,2022-05-15 16:40, 0.9045,0.0805,-0.2816,0.0313
2022-05-22 02:36,2022-05-17 16:30,2022-05-25 16:40, 0.9705,0.1103,-0.2932,0.0813
2022-06-01 16:25,2022-05-30 15:40,2022-06-04 16:00, 0.9966,0.0628,-0.2093,0.0152
2022-06-11 10:16,2022-06-06 15:10,2022-06-16 14:30, 1.1045,0.1244,-0.1140,0.0437
2022-06-20 07:08,2022-06-17 14:30,2022-06-22 14:50, 0.9840,0.1160,-0.1518,0.0441
2022-06-28 17:35,2022-06-24 14:00,2022-07-02 14:10, 1.0838,0.0632,-0.1107,0.0494
2022-07-11 18:57,2022-07-05 13:20,2022-07-20 12:20, 1.0599,0.0778,-0.1143,0.0541
2022-07-30 09:02,2022-07-20 13:00,2022-08-07 11:10, 0.9438,0.0635,-0.1980,0.0642
2022-08-14 08:30,2022-08-09 11:40,2022-08-22 10:10, 0.8424,0.1112,-0.1722,0.0553
2022-08-28 17:24,2022-08-22 10:50,2022-09-04 09:20, 0.8120,0.0403,-0.4127,0.0602
2022-09-12 15:41,2022-09-06 09:50,2022-09-19 08:20, 0.9680,0.0864,-0.3297,0.0237
2022-09-27 18:51,2022-09-22 08:10,2022-10-04 08:00, 0.9353,0.0722,-0.2649,0.0333
2022-10-10 23:45,2022-10-07 07:10,2022-10-17 06:30, 0.9394,0.0338,-0.3390,0.0426
2022-10-25 17:01,2022-10-20 06:20,2022-11-01 06:10, 0.8235,0.0470,-0.4041,0.0590
2022-11-08 16:04,2022-11-04 05:20,2022-11-14 04:40, 0.8029,0.0999,-0.4790,0.0588
2022-11-23 10:53,2022-11-14 05:20,2022-12-02 03:30, 0.7506,0.0812,-0.4928,0.0230
