# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (after binning). 
# Last updated on 2023-07-20T13:30:02
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Mean of observation dates in each bin in UTC (accuracy of 10 min). 
#   2nd column: First observation date in each bin in UTC (accuracy of 10 min). 
#   3rd column: Last observation date in each bin in UTC (accuracy of 10 min). 
#   The others: Spectral irradiance of each band and its standard error [nW/m^2/micron]. 
# 
#Mean date (UTC),First date (UTC),Last date (UTC) ,Band 01    ,01_err    ,Band 02    ,02_err    ,Band 03    ,03_err    ,Band 04    ,04_err    ,Band 05    ,05_err    ,Band 06    ,06_err    ,Band 07    ,07_err    ,Band 08    ,08_err    ,Band 09    ,09_err    ,Band 10    ,10_err    ,Band 11    ,11_err    ,Band 12    ,12_err    ,Band 13    ,13_err    ,Band 14    ,14_err    ,Band 15    ,15_err    ,Band 16    ,16_err    
2017-01-04 05:01,2017-01-01 01:30,2017-01-08 01:00, 1.0803E+01,1.3013E+00, 1.7065E+01,1.3912E+00, 3.6018E+01,1.8601E+00, 8.9125E+01,6.6996E+00, 5.7030E+01,1.6419E+00, 2.2515E+01,1.4080E+00, 3.1926E+00,1.0771E-01, 5.0161E-01,2.8920E-02, 2.6512E-01,3.9095E-02, 2.6870E-01,3.8772E-02, 2.0212E-01,4.2184E-02, 1.7156E-01,5.7428E-02, 1.4099E-01,7.4471E-02, 9.8404E-02,2.8121E-02, 4.7875E-02,4.9130E-02, 5.9229E-02,2.0149E-01
2017-01-13 10:30,2017-01-09 01:40,2017-01-21 00:50, 1.2616E+01,1.0720E+00, 1.7513E+01,1.1566E+00, 3.5683E+01,8.7023E-01, 8.8391E+01,4.9331E+00, 5.0822E+01,1.4832E+00, 2.1991E+01,6.7097E-01, 3.1263E+00,1.0494E-01, 5.7576E-01,1.7608E-02, 3.8942E-01,2.7850E-02, 3.3093E-01,6.7466E-02, 1.7608E-01,4.6599E-02, 2.4646E-01,2.0555E-02, 2.0145E-01,3.6279E-02, 1.2204E-01,1.6109E-02, 6.5889E-02,2.1463E-02, 1.1706E-01,1.6080E-01
2017-01-31 08:12,2017-01-24 00:00,2017-02-07 23:00, 1.1006E+01,1.3970E+00, 2.0139E+01,7.1919E-01, 3.5960E+01,2.1202E+00, 8.5243E+01,3.4341E+00, 5.0924E+01,1.9712E+00, 2.2835E+01,5.2935E-01, 3.2265E+00,8.9237E-02, 5.7644E-01,1.7185E-02, 3.5597E-01,5.7496E-02, 2.5850E-01,3.6231E-02, 1.1718E-01,4.8980E-02, 1.9023E-01,5.4595E-02, 1.7553E-01,4.7824E-02, 6.3435E-02,2.9275E-02,-1.2090E-02,7.8360E-02, 1.6312E-01,1.0818E-01
2017-02-16 06:11,2017-02-07 23:40,2017-02-22 22:40, 1.3363E+01,2.4224E+00, 1.9877E+01,1.6351E+00, 3.9283E+01,2.0613E+00, 8.2842E+01,6.6562E+00, 5.3998E+01,3.0286E+00, 2.2415E+01,1.7291E+00, 3.2582E+00,4.0510E-02, 4.9394E-01,4.5772E-02, 4.0011E-01,4.2606E-02, 2.9218E-01,4.5562E-02, 2.5752E-01,5.8739E-02, 1.3385E-01,3.0317E-02, 1.9045E-01,4.2687E-02, 1.8248E-01,4.8293E-02, 4.6637E-02,2.5664E-02,-3.2292E-02,1.2991E-01
2017-03-03 15:27,2017-02-25 21:50,2017-03-07 21:50, 1.4288E+01,1.1821E+00, 2.1147E+01,1.3597E+00, 3.9782E+01,1.1896E+00, 8.6272E+01,7.8930E+00, 5.1203E+01,2.8507E+00, 2.2963E+01,7.1535E-01, 3.2541E+00,9.5624E-02, 4.8488E-01,4.7193E-02, 3.6618E-01,2.9183E-02, 2.3599E-01,2.7390E-02, 2.3298E-01,3.5716E-02, 2.1513E-01,6.4692E-02, 1.8161E-01,1.1283E-01, 1.1409E-01,3.4943E-02, 6.3585E-02,4.9237E-02,-1.0860E-01,2.2454E-01
2017-03-17 13:21,2017-03-12 20:50,2017-03-22 20:50, 1.4531E+01,9.5221E-01, 2.1574E+01,2.0590E+00, 4.2644E+01,1.5555E+00, 8.7729E+01,5.7873E+00, 5.4043E+01,2.4841E+00, 2.2757E+01,1.5566E+00, 3.3145E+00,2.0498E-01, 5.1190E-01,2.2487E-02, 3.3909E-01,1.6914E-02, 3.5433E-01,4.9303E-02, 1.1096E-01,4.1733E-02, 2.3116E-01,4.5445E-02, 2.3225E-01,2.3810E-02, 1.0129E-01,5.1102E-02, 9.5153E-02,7.2127E-02,-1.9887E-02,1.2372E-01
2017-03-31 17:42,2017-03-23 20:40,2017-04-09 19:00, 1.5522E+01,7.6484E-01, 2.0561E+01,1.1285E+00, 4.1933E+01,1.7519E+00, 9.0757E+01,3.4269E+00, 5.4662E+01,1.4476E+00, 2.3167E+01,6.3016E-01, 3.1797E+00,9.8883E-02, 4.8966E-01,1.3616E-02, 3.2752E-01,4.6120E-02, 2.9769E-01,4.0708E-02, 1.1648E-01,2.1852E-02, 1.9588E-01,6.1888E-02, 1.5459E-01,3.0817E-02, 1.1449E-01,4.2518E-02, 1.4889E-01,8.2514E-02, 1.5949E-01,1.5664E-01
2017-04-15 23:25,2017-04-09 19:40,2017-04-19 19:00, 1.6366E+01,1.2756E+00, 2.0265E+01,1.8269E+00, 4.3046E+01,1.1462E+00, 8.8773E+01,3.4055E+00, 5.1648E+01,3.9522E+00, 2.2225E+01,4.7814E-01, 3.1738E+00,1.2356E-01, 5.2296E-01,3.1534E-02, 3.4443E-01,5.8689E-02, 3.9738E-01,2.6359E-02, 2.3274E-01,6.1350E-02, 2.0880E-01,5.9805E-02, 1.3079E-01,8.1859E-02, 1.5600E-01,2.4181E-02, 7.4153E-02,4.3978E-02, 2.0819E-04,4.9673E-02
2017-04-28 18:25,2017-04-22 18:10,2017-05-02 18:10, 1.6603E+01,1.9692E+00, 2.3050E+01,1.1182E+00, 4.1090E+01,7.6549E-01, 9.7989E+01,3.5210E+00, 5.8028E+01,1.5033E+00, 2.2909E+01,8.5792E-01, 3.3768E+00,9.0267E-02, 5.1127E-01,1.7276E-02, 4.3085E-01,2.4937E-02, 3.0591E-01,3.7753E-02, 1.2619E-01,6.9901E-02, 2.1275E-01,3.5203E-02, 1.0748E-01,7.9001E-02, 1.4084E-01,1.7272E-02, 2.4038E-02,3.9439E-02, 1.2375E-01,1.3578E-01
2017-05-07 14:31,2017-05-04 17:20,2017-05-10 17:40, 1.6019E+01,1.0397E+00, 2.2619E+01,9.1767E-01, 4.6711E+01,1.8116E+00, 8.9827E+01,1.9192E+00, 5.7785E+01,2.1439E+00, 2.2673E+01,5.4917E-01, 3.3086E+00,1.2344E-01, 5.2761E-01,2.9651E-02, 3.5456E-01,6.0524E-02, 2.6345E-01,3.9427E-02, 2.2219E-01,6.9810E-02, 2.4734E-01,3.0108E-02, 1.9943E-01,7.0581E-02, 1.2459E-01,2.2343E-02, 7.5699E-02,5.9033E-02, 1.6594E-02,1.8221E-01
