# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite. 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: Spectral irradiance of each band [nW/m^2/micron]. 
# 
#Date (UTC)     ,Band 01    ,Band 02    ,Band 03    ,Band 04    ,Band 05    ,Band 06    ,Band 07    ,Band 08    ,Band 09    ,Band 10    ,Band 11    ,Band 12    ,Band 13    ,Band 14    ,Band 15    ,Band 16    
2017-01-01 21:30, 3.1995E+00,-2.3641E+00,-2.0134E+00, 7.0232E+00, 7.0867E+00, 3.7626E+00, 9.1413E-01, 2.8681E-01, 1.4573E-01, 1.5915E-01, 2.2359E-02, 1.1956E-01,-1.1679E-01, 5.9133E-02, 3.5832E-02, 1.2152E-01
2017-01-06 21:10, 5.7460E-01,-9.0556E-01, 3.3725E+00, 3.4104E-01, 6.0060E+00, 3.8889E+00, 8.6786E-01, 4.4102E-01, 5.9203E-02, 1.3881E-01, 1.4058E-02, 5.5183E-02, 2.1596E-01, 4.6497E-02,-6.8159E-02,-2.0253E-02
2017-01-08 22:10, 6.4827E-01, 3.5531E+00,-2.8466E-01, 8.1636E+00, 6.6969E+00, 3.8944E+00, 9.1572E-01, 1.6632E-01, 1.7306E-01, 1.2325E-01,-8.9035E-02, 9.6570E-02, 9.3768E-02, 1.5043E-01,-1.0346E-01,-2.7003E-01
2017-01-13 21:50,-1.0903E+00, 2.3918E+00,-1.6495E+00, 4.3234E+00, 6.2895E+00, 3.9823E+00, 9.2916E-01, 3.0863E-01, 1.0702E-01, 2.0103E-01,-9.9969E-02,-7.0511E-02, 2.1830E-01,-1.1131E-01,-2.3082E-02,-3.1279E-01
2017-01-18 21:30, 4.7927E-02,-4.9080E-01, 3.3085E-01, 6.9486E+00, 6.6792E+00, 3.2451E+00, 9.3418E-01, 1.2824E-01, 2.5048E-01, 1.8189E-01, 2.7023E-01,-----------, 2.8782E-02, 1.5782E-01, 1.5823E-01,-4.4556E-01
2017-01-24 20:00, 3.5139E+00, 1.7904E+00,-1.4581E+00, 4.8527E+00, 9.2304E+00, 4.1713E+00, 8.5420E-01, 2.4293E-01,-----------,-----------,-----------,-----------,-1.6867E-01,-6.4717E-02,-----------,-----------
2017-01-29 19:40,-1.3039E+00, 1.2443E-01, 3.3713E+00, 1.1131E+01, 8.4725E+00, 4.7348E+00, 1.0412E+00, 2.1677E-01, 3.4839E-01, 2.2018E-01, 6.9701E-02, 3.3296E-02,-3.0466E-02, 1.2171E-01, 1.1563E-01, 2.4303E-01
2017-02-03 19:20,-3.4729E+00, 3.2006E+00, 3.4475E+00, 7.4844E+00, 1.0931E+01, 4.9113E+00, 1.1083E+00, 2.7657E-01, 2.2087E-01, 1.7949E-01, 1.5308E-01, 1.4185E-01, 5.5023E-01, 1.2035E-01, 1.5823E-01,-1.0576E-01
2017-02-05 20:20, 1.6649E+00, 2.8619E+00,-6.0574E-01, 9.6734E+00, 8.3977E+00, 5.5093E+00, 1.0385E+00, 2.6910E-01, 1.2296E-01, 1.1607E-01, 2.3899E-01, 1.5635E-01, 2.1207E-01, 1.0941E-01, 4.8685E-03, 1.2152E-01
2017-02-08 19:00, 3.8233E+00, 5.4196E+00, 2.5654E+00,-----------, 9.9909E+00,-----------, 1.0753E+00, 1.9243E-01, 4.3414E-02, 1.4225E-01, 1.6995E-01,-----------,-6.2953E-01,-----------, 6.4508E-02, 3.4654E-01
2017-02-10 20:00, 5.8933E-02,-2.9725E-01, 1.6841E+00, 1.6938E+01, 1.0772E+01, 4.2736E+00, 1.1018E+00, 1.8127E-01, 6.8312E-02, 1.3522E-01, 9.6845E-02, 2.2380E-01,-2.1882E-02, 1.1351E-01, 1.1563E-01, 1.9802E-01
2017-02-15 19:40, 2.0037E+00,-3.9402E-01, 1.9282E+00, 1.6609E+01, 1.1187E+01, 6.2798E+00, 1.0329E+00, 1.0744E-01, 7.9697E-02, 6.0222E-02, 1.2808E-01,-----------, 1.9003E-01,-5.6445E-02, 1.1076E-01,-7.2009E-02
2017-02-20 19:20,-2.0406E+00,-5.8067E-01, 4.8429E+00, 1.7972E+01, 1.3004E+01, 5.1742E+00, 1.1060E+00,-----------,-----------,-----------,-----------,-----------,-----------, 1.2371E-01,-----------,-----------
2017-02-21 18:10,-----------,-----------,-----------, 6.9770E+00, 1.3075E+01, 5.4488E+00, 1.1147E+00,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
2017-02-26 17:50, 1.6575E+00, 1.4862E+00,-9.0959E-01, 1.6231E+01, 1.3075E+01, 5.6013E+00, 1.1245E+00, 3.0834E-01, 2.9146E-01, 2.0103E-01, 7.8101E-02, 2.2380E-01, 4.2089E-03, 9.1910E-02,-3.7317E-02, 1.9127E-01
2017-03-02 17:40,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
2017-03-03 17:30, 1.3039E+00, 3.4909E+00, 4.1364E+00, 1.3109E+01, 1.1622E+01, 6.2508E+00, 1.2126E+00, 2.2425E-01, 2.8691E-01, 3.1950E-01,-4.0612E-02, 1.4869E-01, 1.3568E-02, 8.0687E-02,-6.9833E-02, 2.5653E-01
2017-03-05 18:30,-5.1788E+00,-1.4033E+00, 5.2539E+00, 1.1556E+01, 1.3431E+01, 5.6356E+00, 1.2175E+00, 2.7096E-01, 6.5149E-02, 1.0889E-01, 1.6870E-01, 3.4489E-01, 5.7140E-02, 4.6497E-02, 6.6942E-02, 2.0027E-01
2017-03-08 17:10,-5.5250E-01,-9.8852E-01,-4.6112E-01, 1.6867E+01, 1.3288E+01, 7.1302E+00, 1.1006E+00, 3.4571E-01, 2.8463E-01, 2.2377E-01, 9.6845E-02, 2.0847E-01, 1.4944E-01, 1.6274E-01, 1.1076E-01,-1.1926E-01
2017-03-10 18:10,-1.8122E+00, 1.7351E+00, 4.5761E+00, 9.2400E+00, 1.3412E+01, 6.3716E+00, 1.1770E+00, 2.6522E-01, 2.8691E-01, 1.4686E-01, 1.1415E-01, 2.3146E-01,-3.9558E-02, 1.9009E-01, 1.0346E-01,-1.5752E-02
2017-03-15 17:50,-4.4937E-01,-4.1476E-01, 4.0899E+00, 7.0907E+00, 1.3250E+01, 6.4540E+00, 1.3075E+00, 2.4935E-01, 1.7761E-01, 1.5795E-01, 1.2340E-01, 1.3489E-01, 1.3219E-01, 4.3762E-02, 9.8587E-02,-2.0703E-01
2017-03-20 17:30,-4.2874E+00, 5.9449E-01,-1.5608E+00, 1.4277E+01, 1.5579E+01, 6.2231E+00, 1.2912E+00, 2.5788E-01,-----------,-----------,-----------,-----------, 2.1664E-01,-1.4062E-02,-----------,-----------
2017-03-26 16:00, 1.1492E+00, 1.2374E+00, 4.2800E+00, 1.0860E+01, 1.2709E+01, 6.7893E+00, 1.3010E+00, 3.2142E-01, 1.8579E-01, 1.4599E-01, 6.9833E-02,-----------, 1.1646E-02, 9.0558E-02, 1.2030E-01,-2.6778E-01
2017-03-31 15:40, 1.1860E+00,-2.7582E+00, 2.3703E+00, 1.6100E+01, 1.3288E+01, 7.9865E+00, 1.2522E+00, 3.4384E-01, 3.3017E-01, 1.6830E-01, 2.2181E-01, 1.1190E-01, 3.4003E-01, 1.2308E-02, 8.7633E-02, 1.2602E-01
2017-04-02 16:40, 2.1371E-01,-----------, 2.8900E+00, 1.4643E+01, 1.4046E+01, 5.9432E+00, 1.4336E+00, 3.4681E-01, 2.4013E-01, 2.1659E-01, 5.7794E-02, 1.6555E-01, 1.2178E-01,-5.4166E-02, 1.1806E-01,-3.3979E-01
2017-04-05 15:20, 1.2818E+00,-1.7489E+00, 1.7159E+00, 1.1201E+01, 1.5520E+01, 6.8879E+00, 1.2523E+00, 2.8965E-01, 2.3454E-01, 2.1799E-01, 2.8585E-01, 1.6402E-01, 3.9265E-01,-3.6116E-02, 6.0856E-03,-1.2602E-01
2017-04-07 16:20,-6.5160E+00,-2.3572E+00, 3.2631E+00, 8.2879E+00, 1.5056E+01, 6.7236E+00, 1.2968E+00, 3.5132E-01, 1.1820E-01, 1.4240E-01, 3.5926E-02, 2.4219E-01, 1.6702E-01, 6.7011E-02, 7.6679E-02, 1.5977E-01
2017-04-10 15:00,-5.8129E+00,-2.4194E-01, 1.6400E+00,-----------, 1.4740E+01,-----------, 1.3897E+00, 3.7265E-01, 1.7984E-01, 2.0677E-01,-----------,-----------,-----------,-----------, 1.3754E-01,-1.3952E-01
2017-04-12 16:00,-3.8307E-01,-2.6268E-01, 1.0942E+00, 6.7461E+00, 1.6034E+01, 6.9539E+00, 1.3742E+00, 3.4758E-01,-2.5588E-02, 2.4531E-01, 1.5776E-01, 2.0694E-01, 2.6093E-02,-6.0173E-02, 1.1441E-01, 6.7508E-02
2017-04-17 15:40, 3.2855E+00, 2.4471E+00,-2.0422E+00, 9.9966E+00, 1.4333E+01, 8.2502E+00, 1.3808E+00, 4.4729E-01, 7.4505E-02, 1.2333E-02, 1.9172E-01,-----------, 2.8782E-01, 9.8778E-02, 2.0113E-01,-3.3529E-01
2017-04-22 15:20,-----------,-----------,-----------,-----------,-----------,-----------, 1.2400E+00,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
2017-04-23 14:10, 1.5986E+00,-2.5577E-01, 3.4230E+00, 1.3575E+01, 1.8036E+01, 6.2332E+00, 1.4823E+00,-----------,-----------,-----------,-----------,-----------,-----------, 3.3333E-02,-----------,-----------
2017-04-28 13:50, 2.4531E+00, 1.5208E+00, 4.3562E+00, 8.3128E+00, 1.6654E+01, 7.2593E+00, 1.3192E+00, 3.0834E-01, 1.7306E-01, 2.0223E-01, 1.7807E-01, 1.1343E-01, 1.6593E-01, 7.3849E-02,-1.1563E-01, 1.8227E-01
2017-05-03 13:30,-3.7349E+00,-1.6452E+00, 1.5921E+00, 1.0469E+01, 1.3908E+01, 6.8292E+00, 1.3143E+00, 2.9526E-01, 3.0970E-01, 1.6633E-01, 1.3121E-01, 3.0657E-02, 1.9340E-01, 1.4633E-01, 7.4245E-02,-1.1251E-02
2017-05-05 14:30, 1.8196E+00, 7.7422E-01, 1.8275E+00, 7.3003E+00, 1.6518E+01, 6.6572E+00, 1.2727E+00, 3.3450E-01, 3.1196E-01, 9.2139E-02, 8.2787E-02, 2.3606E-01, 3.2195E-01, 1.3949E-01, 1.6431E-01,-1.2602E-01
2017-05-10 14:10,-3.3150E-01, 2.9448E+00,-1.7281E+00, 7.4104E+00, 1.7132E+01, 7.4317E+00, 1.3992E+00, 1.6632E-01, 1.6959E-01, 1.8787E-01, 2.0150E-01, 3.9854E-02, 1.5823E-01, 5.4703E-02,-9.7370E-03, 1.6877E-01
2017-05-15 13:50,-1.0361E+00,-2.5691E+00, 1.1553E+00, 3.3641E+00, 1.4067E+01, 7.2285E+00, 1.4602E+00, 2.8218E-01, 2.4364E-01, 2.6804E-01, 1.3902E-01, 3.9854E-02, 6.5850E-02, 2.9320E-01, 1.6253E-01,-1.5527E-01
2017-05-20 13:30,-----------,-----------,-----------, 6.6609E+00, 1.2017E+01, 7.2065E+00, 1.2758E+00,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
2017-05-21 12:20, 2.1879E+00,-1.0369E+00,-3.2569E+00, 4.2630E+00, 1.5679E+01, 7.3274E+00, 1.3152E+00,-----------,-----------,-----------,-----------,-----------,-----------, 1.3791E-01,-----------,-----------
2017-05-26 12:00,-3.6833E-01, 1.7420E+00, 8.9213E-01, 3.4101E+00, 1.3916E+01, 8.0964E+00, 1.4450E+00, 2.5788E-01, 2.5503E-01, 5.6241E-02, 1.2027E-01, 1.7934E-01,-6.6365E-01, 1.7231E-01, 2.2427E-01,-9.9012E-02
2017-05-31 11:40,-5.7264E+00, 2.3503E+00, 4.6047E-01, 2.1812E+00, 1.2862E+01, 6.2731E+00, 1.2166E+00, 2.4400E-01, 2.9374E-01, 8.8549E-02, 1.7807E-01, 2.7591E-02, 2.2856E-01,-1.3676E-03, 8.6416E-02,-5.8507E-02
2017-06-02 11:30,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
2017-06-02 12:40, 1.8343E+00, 6.8436E-01, 3.4723E-01, 4.9163E-01, 1.3004E+01, 7.3219E+00, 1.3360E+00, 2.1677E-01, 1.7533E-01, 2.5727E-01,-1.5620E-03, 1.1190E-01,-4.8349E-02, 9.4234E-02, 1.1168E-01,-3.8255E-02
2017-06-05 11:20, 2.8214E+00,-1.1337E+00, 2.2715E+00, 7.9421E+00, 1.4227E+01, 6.2340E+00, 1.2359E+00, 2.3208E-01, 2.5503E-01, 2.0582E-01, 1.1090E-01, 1.9718E-01, 4.2647E-01, 1.4182E-01, 1.5214E-01,-1.6427E-01
2017-06-07 12:20,-6.6397E+00, 1.1060E+00, 9.4705E-01, 6.0214E+00, 1.1860E+01, 6.8989E+00, 1.2719E+00, 1.5137E-01, 2.3004E-01, 8.2566E-02, 1.8900E-01, 1.9703E-01, 4.2428E-02, 9.9264E-02,-2.7994E-02,-1.8002E-01
2017-06-12 12:00, 2.6180E+00, 9.1248E-01, 9.2761E-01,-3.0551E-01, 1.3660E+01, 6.4727E+00, 1.2577E+00, 2.8218E-01, 2.4592E-01, 2.1778E-01, 1.3277E-01, 2.0199E-01,-1.8008E-02,-1.6411E-02, 4.3816E-02, 5.6257E-02
2017-06-17 11:40, 1.0019E+00,-9.8160E-01, 1.6624E+00, 5.3757E+00, 1.4687E+01, 6.4815E+00, 1.2042E+00,-----------,-----------,-----------,-----------,-----------,-----------, 8.8069E-02,-----------,-----------
2017-06-18 10:30,-----------,-----------,-----------, 2.1492E+00, 8.9623E+00, 6.9544E+00, 1.2801E+00,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
2017-06-23 10:10,-2.8560E+00, 2.3572E+00, 4.0092E-02, 3.6555E+00, 1.2278E+01, 6.0201E+00, 1.2971E+00, 3.5693E-01, 5.8657E-02, 5.6241E-02, 1.3589E-01, 2.1193E-01, 1.5555E-01, 1.3901E-01, 1.3735E-01,-1.5527E-01
2017-06-28 09:50, 4.2775E-01,-1.3165E+00, 2.7798E+00, 5.9042E+00, 1.2101E+01, 5.3555E+00, 1.2700E+00, 2.7470E-01, 2.1860E-01, 5.2651E-02, 1.4370E-01, 1.0117E-01, 1.4651E-02,-8.2054E-03, 3.6125E-02,-1.9352E-01
2017-06-30 10:50,-7.5093E-01, 3.0416E-01, 2.6393E+00, 4.1067E+00, 1.1667E+01, 5.7509E+00, 1.2928E+00, 2.2985E-01, 7.3553E-02, 1.7590E-01, 2.1868E-02, 7.0511E-02, 3.7465E-02,-6.4276E-02,-7.6679E-02,-2.7171E-01
2017-07-03 09:30,-5.0830E-01, 2.2121E-01, 2.9302E+00, 1.9929E+00, 1.1599E+01, 6.1267E+00, 1.2491E+00, 2.8405E-01, 2.2998E-01, 2.5847E-01, 2.4992E-02, 9.6239E-02, 1.5013E-01, 9.8465E-02,-1.4849E-01, 2.2503E-01
2017-07-05 10:30, 2.4384E+00,-1.9356E+00,-1.5714E-01, 5.6484E-01, 1.3369E+01, 5.7454E+00, 1.2191E+00, 3.3140E-01, 1.4345E-01, 1.1248E-01, 2.4055E-01, 1.0730E-01, 1.6116E-01, 2.1881E-02, 1.3388E-02,-7.6510E-02
