# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2017-01-01 21:30,    nan,    nan
2017-01-06 21:10,    nan, 2.2442
2017-01-08 22:10, 2.6777,    nan
2017-01-13 21:50, 3.1074,    nan
2017-01-18 21:30,    nan, 4.7649
2017-01-24 20:00, 3.4218,    nan
2017-01-29 19:40, 6.3169, 2.2446
2017-02-03 19:20, 2.7911, 2.2203
2017-02-05 20:20, 2.9126,    nan
2017-02-08 19:00, 2.2193, 2.5412
2017-02-10 20:00,    nan, 2.9981
2017-02-15 19:40,    nan, 2.8512
2017-02-20 19:20,    nan, 1.8513
2017-02-21 18:10,-------,-------
2017-02-26 17:50, 3.6240,    nan
2017-03-02 17:40,-------,-------
2017-03-03 17:30, 2.6969, 2.0225
2017-03-05 18:30,    nan, 1.7628
2017-03-08 17:10,    nan,    nan
2017-03-10 18:10, 3.4559, 1.9128
2017-03-15 17:50,    nan, 2.0348
2017-03-20 17:30, 4.6188,    nan
2017-03-26 16:00, 3.8230, 1.9854
2017-03-31 15:40,    nan, 2.6270
2017-04-02 16:40,-------, 2.4118
2017-04-05 15:20,    nan, 2.9778
2017-04-07 16:20,    nan, 2.2800
2017-04-10 15:00,    nan, 3.0270
2017-04-12 16:00,    nan, 3.4663
2017-04-17 15:40, 3.0826,    nan
2017-04-22 15:20,-------,-------
2017-04-23 14:10,    nan, 2.2280
2017-04-28 13:50, 3.5990, 1.9663
2017-05-03 13:30,    nan, 3.0591
2017-05-05 14:30, 4.3320, 2.9094
2017-05-10 14:10, 2.8816,    nan
2017-05-15 13:50,    nan, 3.4073
2017-05-20 13:30,-------,-------
2017-05-21 12:20,    nan,    nan
2017-05-26 12:00, 3.4516, 3.6880
2017-05-31 11:40, 3.1264, 4.4060
2017-06-02 11:30,-------,-------
2017-06-02 12:40, 4.4660, 4.7125
2017-06-05 11:20,    nan, 2.6733
2017-06-07 12:20, 3.9448, 3.6231
2017-06-12 12:00, 4.1537, 3.6456
2017-06-17 11:40,    nan, 3.0122
2017-06-18 10:30,-------,-------
2017-06-23 10:10, 3.1232, 7.0564
2017-06-28 09:50,    nan, 2.4540
2017-06-30 10:50, 5.3465, 2.5103
2017-07-03 09:30, 5.6922, 2.3968
2017-07-05 10:30,    nan,    nan
2017-07-10 10:10,    nan, 3.7713
2017-07-15 09:50,    nan,    nan
2017-07-21 08:20, 2.7748,    nan
2017-07-26 08:00,    nan,    nan
2017-07-31 07:40,    nan, 5.0863
2017-08-02 08:40,    nan,    nan
2017-08-07 08:20, 3.0765,    nan
2017-08-12 08:00,    nan,    nan
2017-08-18 06:30, 4.1133,    nan
2017-08-23 06:10,    nan, 4.3228
2017-08-28 05:50,    nan, 3.1073
2017-08-30 06:50, 4.0221, 3.3201
2017-09-04 06:30, 3.9380,    nan
2017-09-09 06:10,    nan, 2.3340
2017-09-11 04:50,-------,-------
2017-09-15 04:40, 3.7134,    nan
2017-09-20 04:20,    nan,    nan
2017-09-25 04:00, 3.5941,    nan
2017-09-27 05:00, 3.7080, 3.2090
2017-09-30 03:40, 4.3418,    nan
2017-10-02 04:40, 4.0442,    nan
2017-10-07 04:20,    nan,    nan
2017-10-13 02:50,    nan, 5.2052
2017-10-18 02:30,    nan,    nan
2017-10-23 02:10, 3.3970,    nan
2017-10-25 03:10,    nan,    nan
