# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes; after binning). 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Mean of observation dates in each bin in UTC (accuracy of 10 min). 
#   2nd column: First observation date in each bin in UTC (accuracy of 10 min). 
#   3rd column: Last observation date in each bin in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band and its standard error (only for Bands 2 and 3). 
# 
#Mean date (UTC),First date (UTC),Last date (UTC) ,Band 02,02_err,Band 03,03_err
2017-01-10 02:56,2017-01-01 21:30,2017-01-18 21:30, 5.4543,6.5551,    nan,-3.6466
2017-02-03 16:13,2017-01-24 20:00,2017-02-10 20:00, 3.2428,0.6671, 2.9345,0.8783
2017-02-27 06:43,2017-02-15 19:40,2017-03-08 17:10,    nan,-9.7000, 2.4946,0.8118
2017-03-23 05:28,2017-03-10 18:10,2017-04-02 16:40, 5.1300,2.9942, 2.2705,0.3964
2017-04-14 09:02,2017-04-05 15:20,2017-04-23 14:10,    nan,-1.8990, 2.9365,0.6350
2017-05-06 19:16,2017-04-28 13:50,2017-05-15 13:50, 5.4673,6.0930, 3.1183,0.7682
2017-05-30 06:40,2017-05-20 13:30,2017-06-07 12:20, 4.4641,1.5671, 4.1496,1.5457
2017-06-23 11:08,2017-06-12 12:00,2017-07-03 09:30, 5.9325,4.6701, 2.8115,0.4293
2017-07-15 19:28,2017-07-05 10:30,2017-07-26 08:00,    nan,-1.6846,    nan,-2.3279
2017-08-10 16:03,2017-07-31 07:40,2017-08-23 06:10,    nan,-2.3699,    nan,-1.0061
2017-09-06 02:18,2017-08-28 05:50,2017-09-15 04:40, 4.8934,2.1753, 3.6998,1.2609
2017-09-28 16:50,2017-09-20 04:20,2017-10-07 04:20, 4.3693,0.8431,    nan,-0.9154
2017-10-22 23:03,2017-10-13 02:50,2017-10-30 02:50,    nan,-3.6648,    nan,-1.1301
2017-11-15 18:44,2017-11-04 02:30,2017-11-27 01:00, 6.6712,13.7438,    nan,-1.5110
2017-12-14 23:46,2017-12-02 00:40,2017-12-24 23:10, 4.0738,1.7826, 3.0400,0.8424
2018-01-07 15:15,2017-12-27 21:50,2018-01-19 20:20, 5.3236,3.1900, 2.3343,0.5293
2018-01-31 20:41,2018-01-21 21:20,2018-02-11 18:50, 3.4189,0.5328, 2.9825,0.4058
2018-02-22 00:08,2018-02-16 18:30,2018-02-28 18:50, 2.8529,0.4550, 2.2258,0.4229
2018-03-16 09:45,2018-03-05 18:30,2018-03-23 17:20, 3.7249,1.2204, 4.1027,1.6897
2018-04-10 08:06,2018-03-28 17:00,2018-04-20 15:30, 5.5195,5.3425, 4.2269,2.0043
2018-05-04 07:35,2018-04-23 14:10,2018-05-16 12:40,    nan,-1.2902, 3.4245,1.0662
2018-05-28 13:01,2018-05-18 13:40,2018-06-08 11:10, 6.8048,15.7125, 3.6870,1.9030
2018-06-21 16:16,2018-06-13 10:50,2018-06-30 10:50,    nan,-1.5310, 4.0481,3.0820
